prop_family,threshold,model,n,brier,avg_p,event_rate
team_total,3,BivarNB,522,0.20075329716475096,0.6985348659003832,0.7203065134099617
team_total,3,COM-Poisson,522,0.19996421082425986,0.7216406897382369,0.7203065134099617
team_total,3,NegBin,522,0.20042184872573557,0.6991405338430287,0.7203065134099617
team_total,3,Poisson,522,0.2050264475797002,0.7915185725360309,0.7203065134099617
team_total,3,WeibullCount,522,0.20859210513409962,0.8108022988505748,0.7203065134099617
team_total,4,BivarNB,522,0.24555820781609194,0.5409800766283525,0.5306513409961686
team_total,4,COM-Poisson,522,0.24697438041000058,0.5690283835397533,0.5306513409961686
team_total,4,NegBin,522,0.24544013857452518,0.5442965786095837,0.5306513409961686
team_total,4,Poisson,522,0.2524735430566482,0.6121417821164676,0.5306513409961686
team_total,4,WeibullCount,522,0.2545498767816092,0.616239846743295,0.5306513409961686
team_total,5,BivarNB,522,0.23226119172413795,0.398911877394636,0.39080459770114945
team_total,5,COM-Poisson,522,0.2316471358913381,0.42119725475455655,0.39080459770114945
team_total,5,NegBin,522,0.23182920370295917,0.402707439442419,0.39080459770114945
team_total,5,Poisson,522,0.23269180802817452,0.42369488409973577,0.39080459770114945
team_total,5,WeibullCount,522,0.23128553900383142,0.410552490421456,0.39080459770114945
team_total,6,BivarNB,522,0.19319039693486592,0.2823095785440613,0.2720306513409962
team_total,6,COM-Poisson,522,0.193382807811385,0.29388702123277444,0.2720306513409962
team_total,6,NegBin,522,0.19330385647698925,0.2856970780079211,0.2720306513409962
team_total,6,Poisson,522,0.19309060571849207,0.2632678243017537,0.2720306513409962
team_total,6,WeibullCount,522,0.19387903816091956,0.23753716475095785,0.2720306513409962
team_total,7,BivarNB,522,0.15339169593869734,0.19354176245210727,0.19923371647509577
team_total,7,COM-Poisson,522,0.1528456696618557,0.19418314368282974,0.19923371647509577
team_total,7,NegBin,522,0.1534283390381093,0.1957992523386876,0.19923371647509577
team_total,7,Poisson,522,0.1551788714206182,0.14791601297129958,0.19923371647509577
team_total,7,WeibullCount,522,0.15852586911877395,0.11858390804597702,0.19923371647509577
